stream, dataset, path, Emergency, EmittanceScan, 2p0E34+ZeroBias+HLTPhysics, 2p0E34, 1p95E34, 1p9E34, 1p85E34, 1p8E34, 1p6E34, 1p4E34, 2p0E34_OnlyMuons, 2p0E34_NoL1CICADA, Backup1, Backup2, HIon, PRef, seed
DQM, OnlineMonitor, HLT_AK8PFJet275_SoftDropMass40_PNetBB0p10_v11, 0, 30, 30, 30, 30, 30, 30, 30, 30, 30, 0, 30, 30, 30, 0, 0, L1_SingleJet180er2p5 OR L1_SingleJet200 OR L1_HTT280er OR L1_HTT320er OR L1_HTT360er OR L1_HTT400er OR L1_HTT450er OR L1_Mu6_HTT240er
DQM, OnlineMonitor, HLT_AK8PFJet275_SoftDropMass40_PNetTauTau0p03_v11, 0, 30, 30, 30, 30, 30, 30, 30, 30, 30, 0, 30, 30, 30, 0, 0, L1_SingleJet180er2p5 OR L1_SingleJet200 OR L1_HTT280er OR L1_HTT320er OR L1_HTT360er OR L1_HTT400er OR L1_HTT450er OR L1_Mu6_HTT240er
DQM, OnlineMonitor, HLT_AK8PFJet275_SoftDropMass40_PNetTauTau0p05_v11, 0, 30, 30, 30, 30, 30, 30, 30, 30, 30, 0, 30, 30, 30, 0, 0, L1_SingleJet180er2p5 OR L1_SingleJet200 OR L1_HTT280er OR L1_HTT320er OR L1_HTT360er OR L1_HTT400er OR L1_HTT450er OR L1_Mu6_HTT240er
DQM, OnlineMonitor, HLT_AK8PFJet320_v30, 0, 1440, 1440, 1440, 1440, 1440, 1440, 1440, 1440, 1440, 0, 1440, 1440, 1440, 0, 0, L1_SingleJet160er2p5 OR L1_SingleJet180 OR L1_SingleJet200
DQM, OnlineMonitor, HLT_AK8PFJet380_SoftDropMass30_v8, 0, 30, 30, 30, 30, 30, 30, 30, 30, 30, 0, 30, 30, 30, 0, 0, L1_SingleJet180 OR L1_SingleJet180er2p5 OR L1_SingleJet200 OR L1_HTT280er OR L1_HTT320er OR L1_HTT360er OR L1_HTT400er OR L1_HTT450er
DQM, OnlineMonitor, HLT_AK8PFJet400_SoftDropMass30_v8, 0, 30, 30, 30, 30, 30, 30, 30, 30, 30, 0, 30, 30, 30, 0, 0, L1_SingleJet180 OR L1_SingleJet180er2p5 OR L1_SingleJet200 OR L1_HTT280er OR L1_HTT320er OR L1_HTT360er OR L1_HTT400er OR L1_HTT450er
DQM, OnlineMonitor, HLT_AK8PFJet400_v30, 0, 480, 480, 480, 480, 480, 480, 480, 480, 480, 0, 480, 480, 480, 0, 0, L1_SingleJet160er2p5 OR L1_SingleJet180 OR L1_SingleJet200
DQM, OnlineMonitor, HLT_AK8PFJet40_v30, 0, 5010, 5010, 5010, 5010, 5010, 5010, 5010, 5010, 5010, 0, 5010, 5010, 5010, 0, 0, L1_ZeroBias
DQM, OnlineMonitor, HLT_AK8PFJet425_SoftDropMass30_v8, 0, 30, 30, 30, 30, 30, 30, 30, 30, 30, 0, 30, 30, 30, 0, 0, L1_SingleJet180 OR L1_SingleJet180er2p5 OR L1_SingleJet200 OR L1_HTT280er OR L1_HTT320er OR L1_HTT360er OR L1_HTT400er OR L1_HTT450er
DQM, OnlineMonitor, HLT_AK8PFJet450_SoftDropMass30_v8, 0, 30, 30, 30, 30, 30, 30, 30, 30, 30, 0, 30, 30, 30, 0, 0, L1_SingleJet180 OR L1_SingleJet180er2p5 OR L1_SingleJet200 OR L1_HTT280er OR L1_HTT320er OR L1_HTT360er OR L1_HTT400er OR L1_HTT450er
